"","lga_id","X_id_facility_list","total_facility_list","matched_facility_list","rejected_facility_list","finished_facility_list","left_facility_list","full_facility_list","edu_total_facility_list","edu_matched_facility_list","edu_rejected_facility_list","edu_finished_facility_list","edu_left_facility_list","health_total_facility_list","health_matched_facility_list","health_rejected_facility_list","health_finished_facility_list","health_left_facility_list","state_facility_list","lga_facility_list","zone_facility_list","X_id_baseline","total_baseline","matched_baseline","rejected_baseline","finished_baseline","left_baseline","full_baseline","edu_total_baseline","edu_matched_baseline","edu_rejected_baseline","edu_finished_baseline","edu_left_baseline","health_total_baseline","health_matched_baseline","health_rejected_baseline","health_finished_baseline","health_left_baseline","state_baseline","lga_baseline","zone_baseline"
"1",2,"51b0b213b0593c9c276ed1bf",128,89,0,89,39,TRUE,94,73,0,73,21,34,16,0,16,18,"fct","abaji","north_central","51b0b206b0593c9c276ec743",103,89,2,91,12,TRUE,85,73,0,73,12,18,16,2,18,0,"fct","abaji","north_central"
"2",3,"51b0b213b0593c9c276ed330",101,52,0,52,49,TRUE,87,43,0,43,44,14,9,0,9,5,"akwa_ibom","abak","south_south","51b0b206b0593c9c276ec943",58,52,6,58,0,TRUE,46,43,3,46,0,12,9,3,12,0,"akwa_ibom","abak","south_south"
"3",4,"51b0b213b0593c9c276ed2c3",210,54,0,54,156,TRUE,163,40,0,40,123,47,14,0,14,33,"ebonyi","abakaliki","southeast","51b0b206b0593c9c276ec816",75,54,21,75,0,TRUE,51,40,11,51,0,24,14,10,24,0,"ebonyi","abakaliki","southeast"
"4",5,"51b0b213b0593c9c276ed279",307,51,0,51,256,TRUE,228,46,0,46,182,79,5,0,5,74,"abia","aba_north","southeast","51b0b206b0593c9c276ec9a9",87,51,36,87,0,TRUE,77,46,31,77,0,10,5,5,10,0,"abia","aba_north","southeast"
"5",6,"51b0b213b0593c9c276ed2a4",161,57,0,57,104,TRUE,103,45,0,45,58,58,12,0,12,46,"abia","aba_south","southeast","51b0b206b0593c9c276ec98f",75,57,18,75,0,TRUE,53,45,8,53,0,22,12,10,22,0,"abia","aba_south","southeast"
"6",7,"51b0b213b0593c9c276ed0c0",246,88,0,88,158,TRUE,155,50,0,50,105,91,38,0,38,53,"ogun","abeokuta_north","southwest","51b0b206b0593c9c276ec751",212,87,124,211,1,TRUE,147,49,97,146,1,65,38,27,65,0,"ogun","abeokuta_north","southwest"
"7",8,"51b0b213b0593c9c276ed0be",264,66,0,66,198,TRUE,163,38,0,38,125,101,28,0,28,73,"ogun","abeokuta_south","southwest","51b0b206b0593c9c276ec896",172,66,106,172,0,TRUE,111,38,73,111,0,61,28,33,61,0,"ogun","abeokuta_south","southwest"
"8",9,"51b0b213b0593c9c276ed0cc",146,96,0,96,50,TRUE,107,67,0,67,40,39,29,0,29,10,"cross_river","abi","south_south","51b0b206b0593c9c276ec9bd",118,96,22,118,0,TRUE,76,67,9,76,0,42,29,13,42,0,"cross_river","abi","south_south"
"9",10,"51b0b213b0593c9c276ed201",219,99,0,99,120,TRUE,128,73,0,73,55,91,26,0,26,65,"imo","aboh_mbaise","southeast","51b0b206b0593c9c276ec9b9",132,99,33,132,0,TRUE,97,73,24,97,0,35,26,9,35,0,"imo","aboh_mbaise","southeast"
"10",11,"51b0b213b0593c9c276ed235",96,47,0,47,49,TRUE,67,40,0,40,27,29,7,0,7,22,"rivers","abua_odual","south_south","51b0b206b0593c9c276ec752",77,47,29,76,1,TRUE,68,40,27,67,1,9,7,2,9,0,"rivers","abua_odual","south_south"
